Crime,year,month,reported
Murders,2013,Jan,35
Woundings and Shootings,2013,Jan,65
"Rapes, Incest and Sexual Offences",2013,Jan,30
Serious Indecency,2013,Jan,7
Kidnapping,2013,Jan,7
Kidnapping for Ransom,2013,Jan,0
Burglaries and Breakings,2013,Jan,237
Robberies,2013,Jan,249
Fraud Offences,2013,Jan,11
General Larceny,2013,Jan,235
Larceny Motor Vehicles,2013,Jan,93
Larceny Dwelling House,2013,Jan,33
Narcotics,2013,Jan,30
Other,2013,Jan,55
Murders,2013,Feb,46
Woundings and Shootings,2013,Feb,31
"Rapes, Incest and Sexual Offences",2013,Feb,33
Serious Indecency,2013,Feb,4
Kidnapping,2013,Feb,7
Kidnapping for Ransom,2013,Feb,0
Burglaries and Breakings,2013,Feb,210
Robberies,2013,Feb,316
Fraud Offences,2013,Feb,11
General Larceny,2013,Feb,221
Larceny Motor Vehicles,2013,Feb,89
Larceny Dwelling House,2013,Feb,18
Narcotics,2013,Feb,19
Other,2013,Feb,36
Murders,2013,Mar,19
Woundings and Shootings,2013,Mar,31
"Rapes, Incest and Sexual Offences",2013,Mar,41
Robberies,2013,Mar,251
Serious Indecency,2013,Mar,4
Kidnapping,2013,Mar,15
Kidnapping for Ransom,2013,Mar,0
Burglaries and Breakings,2013,Mar,234
Fraud Offences,2013,Mar,9
General Larceny,2013,Mar,209
Larceny Motor Vehicles,2013,Mar,64
Larceny Dwelling House,2013,Mar,31
Narcotics,2013,Mar,34
Other,2013,Mar,57
Murders,2013,Apr,19
Woundings and Shootings,2013,Apr,29
"Rapes, Incest and Sexual Offences",2013,Apr,34
Burglaries and Breakings,2013,Apr,223
Robberies,2013,Apr,215
General Larceny,2013,Apr,181
Larceny Motor Vehicles,2013,Apr,75
Narcotics,2013,Apr,27
Kidnapping,2013,Apr,8
Kidnapping for Ransom,2013,Apr,0
Larceny Dwelling House,2013,Apr,28
Fraud Offences,2013,Apr,12
Serious Indecency,2013,Apr,5
Other,2013,Apr,48
Murders,2013,May,33
Woundings and Shootings,2013,May,30
"Rapes, Incest and Sexual Offences",2013,May,34
Serious Indecency,2013,May,3
Kidnapping,2013,May,9
Kidnapping for Ransom,2013,May,0
Burglaries and Breakings,2013,May,209
Robberies,2013,May,221
Fraud Offences,2013,May,10
General Larceny,2013,May,213
Larceny Motor Vehicles,2013,May,85
Larceny Dwelling House,2013,May,32
Narcotics,2013,May,33
Other,2013,May,66
Murders,2012,Jan,38
General Larceny,2012,Jan,282
